forcesRadialDistribution
(
//(Uref[m/s], Uinf[m/s], r[m], Udi(r)[m/s], fn(r)[(N/m^2)/(kg/m^3)], ft(r)[(N/m^2)/(kg/m^3)])
(9 7 21.0995 4.48499 31.1117 10.7521)
(9 7 25.09 4.12629 31.9392 9.28248)
(9 7 29.0806 3.91594 31.9618 8.01437)
(9 7 33.0711 3.79404 31.9618 7.04731)
(9 7 37.0616 3.73981 31.96151 6.28845)
(9 7 41.0521 3.69909 31.96009 5.67692)
(9 7 45.0426 3.7253 31.95235 5.17273)
(9 7 49.0332 3.78898 31.90796 4.74515)
(9 7 53.0237 4.01603 31.59949 4.34561)
(9 7 57.0142 4.45067 29.64736 3.79178)
(9 7 61.0047 5.11196 20.44558 2.44386)
(9 8 0.0 8.1712 0.0 0.0)
(9 8 5.13742 7.8006 0.41397 0.58305)
(9 8 9.12794 7.27312 3.89903 3.09072)
(9 8 13.1185 6.7879 13.6743 7.5422)
(9 8 17.109 6.23804 25.86928 10.94048)
(9 8 21.0995 5.75945 31.81315 10.9096)
(9 8 25.09 5.46108 32.65907 9.41842)
(9 8 29.0806 5.30001 32.68139 8.13155)
(9 8 33.0711 5.22514 32.6791 7.14986)
(9 8 37.0616 5.19549 32.67177 6.37858)
(9 8 41.0521 5.16917 32.64957 5.75463)
(9 8 45.0426 5.20337 32.57475 5.23278)
(9 8 49.0332 5.27973 32.3224 4.76968)
(9 8 53.0237 5.50475 31.40688 4.28578)
(9 8 57.0142 5.91836 28.28823 3.59003)
(9 8 61.0047 6.50574 18.68608 2.21631)
(9 9 0.0 9.10252 0.0 0.0)
(9 9 5.13742 8.78185 0.42228 0.59086)
(9 9 9.12794 8.32507 3.97729 3.1321)
(9 9 13.1185 7.90456 13.94865 7.64312)
(9 9 17.109 7.42711 26.3878 11.08664)
(9 9 21.0995 7.0144 32.44987 11.05509)
(9 9 25.09 6.76564 33.31086 9.54346)
(9 9 29.0806 6.63888 33.32928 8.23843)
(9 9 33.0711 6.58793 33.31639 7.24154)
(9 9 37.0616 6.57307 33.28377 6.45549)
(9 9 41.0521 6.56174 33.20334 5.8139)
(9 9 45.0426 6.60619 32.99257 5.26518)
(9 9 49.0332 6.6933 32.44549 4.75648)
(9 9 53.0237 6.90866 30.97835 4.19961)
(9 9 57.0142 7.28456 27.19498 3.42868)
(9 9 61.0047 7.79288 17.56897 2.07016)
(9 10 0.0 10.05038 0.0 0.0)
(9 10 5.13742 9.77033 0.43 0.59822)
(9 10 9.12794 9.37187 4.04997 3.17116)
(9 10 13.1185 9.00457 14.20326 7.73829)
(9 10 17.109 8.58718 26.86815 11.22414)
(9 10 21.0995 8.22813 33.03776 11.19124)
(9 10 25.09 8.01598 33.90895 9.65947)
(9 10 29.0806 7.91245 33.91667 8.33586)
(9 10 33.0711 7.8754 33.88099 7.3223)
(9 10 37.0616 7.87038 33.80232 6.51872)
(9 10 41.0521 7.8713 33.63251 5.8555)
(9 10 45.0426 7.92367 33.25212 5.27637)
(9 10 49.0332 8.01745 32.41 4.72421)
(9 10 53.0237 8.22101 30.51408 4.11311)
(9 10 57.0142 8.56012 26.33277 3.30106)
(9 10 61.0047 9.0009 16.775 1.96535)
(10 6 0.0 3.0346 0.0 0.0)
(10 6 5.13742 2.87424 0.48081 0.69224)
(10 6 9.12794 2.58758 4.52854 3.66955)
(10 6 13.1185 2.32885 15.8821 8.95474)
(10 6 17.109 2.12307 30.0462 12.9895)
(10 6 21.0995 2.02404 36.9498 12.9529)
(10 6 25.09 2.00603 37.9326 11.1825)
(10 6 29.0806 2.02254 37.9595 9.65484)
(10 6 33.0711 2.04496 37.9595 8.48986)
(10 6 37.0616 2.10236 37.9595 7.57573)
(10 6 41.0521 2.16045 37.9595 6.83932)
(10 6 45.0426 2.23997 37.9595 6.2334)
(10 6 49.0332 2.32962 37.9595 5.7261)
(10 6 53.0237 2.47004 37.9595 5.29516)
(10 6 57.0142 2.70912 37.92409 4.91994)
(10 6 61.0047 3.19449 32.23372 3.90818)
(10 7 0.0 7.20408 0.0 0.0)
(10 7 5.13742 6.689 0.49142 0.70179)
(10 7 9.12794 5.96315 4.6285 3.72018)
(10 7 13.1185 5.3072 16.2327 9.0783)
(10 7 17.109 4.59023 30.7094 13.1687)
(10 7 21.0995 3.99434 37.7655 13.1316)
(10 7 25.09 3.59662 38.77 11.3368)
(10 7 29.0806 3.34842 38.7974 9.78806)
(10 7 33.0711 3.17125 38.7975 8.607)
(10 7 37.0616 3.10108 38.7975 7.68026)
(10 7 41.0521 3.06773 38.79742 6.93369)
(10 7 45.0426 3.10864 38.79728 6.31938)
(10 7 49.0332 3.17735 38.79471 5.80469)
(10 7 53.0237 3.40693 38.73867 5.36008)
(10 7 57.0142 3.841 37.70032 4.85131)
(10 7 61.0047 4.56574 27.64552 3.32474)
(10 8 0.0 8.27063 0.0 0.0)
(10 8 5.13742 7.80586 0.50215 0.71156)
(10 8 9.12794 7.14644 4.72951 3.77194)
(10 8 13.1185 6.54103 16.5869 9.2046)
(10 8 17.109 5.85956 31.3795 13.3519)
(10 8 21.0995 5.26481 38.58959 13.3143)
(10 8 25.09 4.87886 39.616 11.4945)
(10 8 29.0806 4.6567 39.64394 9.92421)
(10 8 33.0711 4.53458 39.64379 8.72667)
(10 8 37.0616 4.48075 39.64285 7.78686)
(10 8 41.0521 4.43784 39.63908 7.02926)
(10 8 45.0426 4.46772 39.62091 6.40357)
(10 8 49.0332 4.54099 39.53099 5.86907)
(10 8 53.0237 4.79431 39.01059 5.35592)
(10 8 57.0142 5.27682 36.24857 4.62839)
(10 8 61.0047 5.99875 24.71062 2.94878)
(10 9 0.0 9.18138 0.0 0.0)
(10 9 5.13742 8.7757 0.51215 0.72081)
(10 9 9.12794 8.19816 4.82367 3.82098)
(10 9 13.1185 7.66684 16.9171 9.32423)
(10 9 17.109 7.06454 32.00402 13.5254)
(10 9 21.0995 6.54067 39.35736 13.48727)
(10 9 25.09 6.21544 40.40382 11.6437)
(10 9 29.0806 6.04106 40.43116 10.05274)
(10 9 33.0711 5.96136 40.42761 8.83893)
(10 9 37.0616 5.93045 40.4166 7.88507)
(10 9 41.0521 5.90299 40.38415 7.11288)
(10 9 45.0426 5.94219 40.27816 6.4657)
(10 9 49.0332 6.02842 39.93254 5.88853)
(10 9 53.0237 6.27758 38.72769 5.28107)
(10 9 57.0142 6.73319 34.77333 4.40994)
(10 9 61.0047 7.37664 22.90495 2.71479)
(10 10 0.0 10.1139 0.0 0.0)
(10 10 5.13742 9.75762 0.52134 0.72945)
(10 10 9.12794 9.25008 4.91023 3.86679)
(10 10 13.1185 8.78285 17.22057 9.43595)
(10 10 17.109 8.25234 32.57752 13.68722)
(10 10 21.0995 7.79378 40.06156 13.64826)
(10 10 25.09 7.51739 41.1245 11.78206)
(10 10 29.0806 7.37654 41.14724 10.17089)
(10 10 33.0711 7.31993 41.13135 8.94018)
(10 10 37.0616 7.30341 41.09107 7.96975)
(10 10 41.0521 7.29083 40.99177 7.17766)
(10 10 45.0426 7.34021 40.73156 6.50023)
(10 10 49.0332 7.437 40.05613 5.8722)
(10 10 53.0237 7.67629 38.24486 5.18471)
(10 10 57.0142 8.09396 33.57402 4.23294)
(10 10 61.0047 8.65876 21.69007 2.55575)
);
